archive,seed,algorithm,snr_difference_db,frequency_mae_difference_hz,call_difference,evaluation_reduction_fraction
main_F2_P100_Z1_N0.npz,1025,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1025,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1026,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1026,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1026,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1027,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1027,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1027,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1028,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1028,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1028,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1029,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1029,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z1_N0.npz,1029,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1000,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1000,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1000,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1001,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1001,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1001,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1002,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1002,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1002,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1003,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1003,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1003,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1004,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1004,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1004,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1005,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1005,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1005,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1006,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1006,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1006,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1007,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1007,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1007,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1008,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1008,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1008,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1009,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1009,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1009,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1010,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1010,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1010,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1011,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1011,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1011,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1012,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1012,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1012,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1013,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1013,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1013,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1014,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1014,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1014,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1015,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1015,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1015,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1016,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1016,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1016,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1017,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1017,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1017,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1018,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1018,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1018,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1019,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1019,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1019,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1020,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1020,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1020,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1021,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1021,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1021,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1022,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1022,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1022,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1023,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1023,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1023,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1024,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1024,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1024,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1025,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1025,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1025,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1026,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1026,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1026,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1027,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1027,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1027,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1028,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1028,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1028,7,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1029,2,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1029,3,0.0,0.0,0,0.8407960199004976
main_F2_P100_Z2_N0.npz,1029,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1000,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1000,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1000,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1001,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1001,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1001,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1002,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1002,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1002,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1003,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1003,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1003,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1004,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1004,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1004,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1005,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1005,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1005,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1006,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1006,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1006,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1007,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1007,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1007,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1008,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1008,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1008,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1009,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1009,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1009,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1010,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1010,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1010,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1011,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1011,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1011,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1012,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1012,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1012,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1013,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1013,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1013,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1014,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1014,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1014,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1015,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1015,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1015,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1016,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1016,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1016,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1017,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1017,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1017,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1018,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1018,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1018,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1019,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1019,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1019,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1020,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1020,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1020,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1021,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1021,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1021,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1022,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1022,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1022,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1023,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1023,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1023,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1024,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1024,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1024,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1025,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1025,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1025,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1026,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1026,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1026,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1027,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1027,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1027,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1028,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1028,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1028,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1029,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1029,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z0_N0.npz,1029,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1000,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1000,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1000,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1001,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1001,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1001,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1002,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1002,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1002,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1003,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1003,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1003,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1004,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1004,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1004,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1005,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1005,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1005,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1006,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1006,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1006,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1007,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1007,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1007,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1008,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1008,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1008,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1009,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1009,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1009,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1010,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1010,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1010,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1011,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1011,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1011,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1012,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1012,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1012,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1013,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1013,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1013,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1014,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1014,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1014,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1015,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1015,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1015,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1016,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1016,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1016,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1017,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1017,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1017,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1018,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1018,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1018,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1019,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1019,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1019,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1020,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1020,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1020,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1021,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1021,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1021,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1022,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1022,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1022,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1023,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1023,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1023,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1024,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1024,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1024,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1025,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1025,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1025,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1026,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1026,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1026,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1027,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1027,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1027,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1028,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1028,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1028,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1029,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1029,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z1_N0.npz,1029,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1000,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1000,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1000,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1001,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1001,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1001,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1002,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1002,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1002,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1003,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1003,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1003,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1004,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1004,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1004,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1005,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1005,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1005,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1006,2,0.0001361637660650672,-0.00031254291534424383,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1006,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1006,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1007,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1007,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1007,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1008,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1008,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1008,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1009,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1009,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1009,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1010,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1010,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1010,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1011,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1011,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1011,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1012,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1012,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1012,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1013,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1013,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1013,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1014,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1014,3,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1014,7,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1015,2,0.0,0.0,0,0.8407960199004976
main_F3_P020_Z2_N0.npz,1015,3,0.0,0.0,0,0.8407960199004976
